:START_ID,:END_ID,relation,:TYPE
30001,10001,ºæ,ºæ
30002,10001,ºæ,ºæ
30003,10001,ºæ,ºæ
30004,10001,ºæ,ºæ
30005,10001,ºæ,ºæ
30006,10001,ºæ,ºæ
30007,10001,ºæ,ºæ
30008,10001,ºæ,ºæ
30009,10001,ºæ,ºæ
30010,10001,ºæ,ºæ
30011,10001,ºæ,ºæ
30012,10001,ºæ,ºæ
30013,10001,ºæ,ºæ
30014,10001,ºæ,ºæ
30015,10001,ºæ,ºæ
30016,10001,ºæ,ºæ
30017,10001,ºæ,ºæ
30018,10001,ºæ,ºæ
30019,10001,ºæ,ºæ
30020,10001,ºæ,ºæ
30021,10001,ºæ,ºæ
30022,10001,ºæ,ºæ
30023,10001,ºæ,ºæ
30024,10001,ºæ,ºæ
30025,10001,ºæ,ºæ
30026,10001,ºæ,ºæ
30027,10001,ºæ,ºæ
30028,10001,ºæ,ºæ
30029,10001,ºæ,ºæ
30030,10001,ºæ,ºæ
30031,10001,ºæ,ºæ
30032,10001,ºæ,ºæ
30033,10001,ºæ,ºæ
30034,10002,ºæ,ºæ
30035,10002,ºæ,ºæ
30036,10002,ºæ,ºæ
30037,10002,ºæ,ºæ
30038,10002,ºæ,ºæ
30039,10002,ºæ,ºæ
30040,10002,ºæ,ºæ
30041,10002,ºæ,ºæ
30042,10002,ºæ,ºæ
30043,10002,ºæ,ºæ
30044,10002,ºæ,ºæ
30045,10002,ºæ,ºæ
30046,10002,ºæ,ºæ
30047,10002,ºæ,ºæ
30048,10002,ºæ,ºæ
30049,10002,ºæ,ºæ
30050,10002,ºæ,ºæ
30051,10002,ºæ,ºæ
30052,10002,ºæ,ºæ
30053,10002,ºæ,ºæ
30054,10002,ºæ,ºæ
30055,10002,ºæ,ºæ
30056,10002,ºæ,ºæ
30057,10002,ºæ,ºæ
30058,10002,ºæ,ºæ
30059,10002,ºæ,ºæ
30060,10002,ºæ,ºæ
30061,10002,ºæ,ºæ
30062,10002,ºæ,ºæ
30063,10002,ºæ,ºæ
30064,10002,ºæ,ºæ
30065,10002,ºæ,ºæ
30066,10003,ºæ,ºæ
30067,10003,ºæ,ºæ
30068,10003,ºæ,ºæ
30069,10003,ºæ,ºæ
30070,10003,ºæ,ºæ
30071,10003,ºæ,ºæ
30072,10003,ºæ,ºæ
30073,10003,ºæ,ºæ
30074,10003,ºæ,ºæ
30075,10003,ºæ,ºæ
30076,10003,ºæ,ºæ
30077,10003,ºæ,ºæ
30078,10003,ºæ,ºæ
30079,10003,ºæ,ºæ
30080,10003,ºæ,ºæ
30081,10004,ºæ,ºæ
30082,10004,ºæ,ºæ
30083,10004,ºæ,ºæ
30084,10004,ºæ,ºæ
30085,10004,ºæ,ºæ
30086,10004,ºæ,ºæ
30087,10004,ºæ,ºæ
30088,10004,ºæ,ºæ
30089,10004,ºæ,ºæ
30090,10004,ºæ,ºæ
30091,10004,ºæ,ºæ
30092,10004,ºæ,ºæ
30093,10004,ºæ,ºæ
30094,10004,ºæ,ºæ
30095,10004,ºæ,ºæ
30096,10004,ºæ,ºæ
30097,10004,ºæ,ºæ
30098,10004,ºæ,ºæ
30099,10005,ºæ,ºæ
30100,10005,ºæ,ºæ
30101,10005,ºæ,ºæ
30102,10005,ºæ,ºæ
30103,10005,ºæ,ºæ
30104,10005,ºæ,ºæ
30105,10005,ºæ,ºæ
30106,10005,ºæ,ºæ
30107,10005,ºæ,ºæ
30108,10005,ºæ,ºæ
30109,10005,ºæ,ºæ
30110,10006,ºæ,ºæ
30111,10006,ºæ,ºæ
30112,10006,ºæ,ºæ
30113,10006,ºæ,ºæ
30114,10006,ºæ,ºæ
30115,10006,ºæ,ºæ
30116,10006,ºæ,ºæ
30117,10006,ºæ,ºæ
30118,10006,ºæ,ºæ
30119,10006,ºæ,ºæ
30120,10006,ºæ,ºæ
30121,10006,ºæ,ºæ
30122,10006,ºæ,ºæ
30123,10006,ºæ,ºæ
30124,10006,ºæ,ºæ
30125,10006,ºæ,ºæ
30126,10006,ºæ,ºæ
30127,10006,ºæ,ºæ
30128,10006,ºæ,ºæ
30129,10006,ºæ,ºæ
30130,10006,ºæ,ºæ
30131,10006,ºæ,ºæ
30132,10006,ºæ,ºæ
30133,10006,ºæ,ºæ
30134,10006,ºæ,ºæ
30135,10006,ºæ,ºæ
30136,10006,ºæ,ºæ
30036,10006,ºæ,ºæ
30137,10006,ºæ,ºæ
30138,10006,ºæ,ºæ
30139,10006,ºæ,ºæ
30140,10006,ºæ,ºæ
30141,10006,ºæ,ºæ
30035,10006,ºæ,ºæ
30142,10006,ºæ,ºæ
30143,10006,ºæ,ºæ
30144,10006,ºæ,ºæ
30145,10006,ºæ,ºæ
30146,10006,ºæ,ºæ
30147,10006,ºæ,ºæ
30148,10006,ºæ,ºæ
30149,10006,ºæ,ºæ
30150,10006,ºæ,ºæ
30151,10006,ºæ,ºæ
30152,10006,ºæ,ºæ
30153,10006,ºæ,ºæ
30154,10006,ºæ,ºæ
30155,10006,ºæ,ºæ
30156,10006,ºæ,ºæ
30157,10006,ºæ,ºæ
30158,10006,ºæ,ºæ
30159,10006,ºæ,ºæ
30160,10006,ºæ,ºæ
30161,10006,ºæ,ºæ
30162,10006,ºæ,ºæ
30163,10006,ºæ,ºæ
30164,10006,ºæ,ºæ
30165,10006,ºæ,ºæ
30166,10006,ºæ,ºæ
30167,10006,ºæ,ºæ
30168,10006,ºæ,ºæ
30169,10006,ºæ,ºæ
30170,10006,ºæ,ºæ
30171,10006,ºæ,ºæ
30172,10007,ºæ,ºæ
30173,10007,ºæ,ºæ
30174,10007,ºæ,ºæ
30175,10007,ºæ,ºæ
30176,10007,ºæ,ºæ
30177,10007,ºæ,ºæ
30178,10007,ºæ,ºæ
30179,10007,ºæ,ºæ
30180,10007,ºæ,ºæ
30181,10007,ºæ,ºæ
30182,10007,ºæ,ºæ
30183,10007,ºæ,ºæ
30184,10007,ºæ,ºæ
30185,10007,ºæ,ºæ
30186,10007,ºæ,ºæ
30187,10007,ºæ,ºæ
30188,10007,ºæ,ºæ
30189,10007,ºæ,ºæ
30068,10007,ºæ,ºæ
30190,10008,ºæ,ºæ
30191,10008,ºæ,ºæ
30397,10008,ºæ,ºæ
30193,10008,ºæ,ºæ
30194,10008,ºæ,ºæ
30195,10008,ºæ,ºæ
30196,10008,ºæ,ºæ
30197,10008,ºæ,ºæ
30198,10008,ºæ,ºæ
30199,10008,ºæ,ºæ
30200,10008,ºæ,ºæ
30201,10008,ºæ,ºæ
30202,10008,ºæ,ºæ
30203,10008,ºæ,ºæ
30204,10008,ºæ,ºæ
30205,10008,ºæ,ºæ
30206,10009,ºæ,ºæ
30207,10009,ºæ,ºæ
30208,10009,ºæ,ºæ
30209,10009,ºæ,ºæ
30210,10009,ºæ,ºæ
30211,10009,ºæ,ºæ
30212,10009,ºæ,ºæ
30213,10009,ºæ,ºæ
30214,10009,ºæ,ºæ
30215,10009,ºæ,ºæ
30216,10009,ºæ,ºæ
30217,10009,ºæ,ºæ
30218,10010,ºæ,ºæ
30219,10010,ºæ,ºæ
30220,10010,ºæ,ºæ
