"","index:ID","actordata",":LABEL"
"1",30001,"克里斯蒂安·贝尔","演員"
"2",30002,"希斯·莱杰","演員"
"3",30003,"艾伦·艾克哈特","演員"
"4",30004,"迈克尔·凯恩","演員"
"5",30005,"玛吉·吉伦哈尔","演員"
"6",30006,"加里·奥德曼","演員"
"7",30007,"摩根·弗里曼","演員"
"8",30008,"莫尼克·加布里埃拉·库尔内","演員"
"9",30009,"罗恩·迪恩","演員"
"10",30010,"基里安·墨菲","演員"
"11",30011,"黄经汉","演員"
"12",30012,"内斯特·卡博内尔","演員"
"13",30013,"埃里克·罗伯茨","演員"
"14",30014,"里特奇·科斯特","演員"
"15",30015,"安东尼·迈克尔·豪尔","演員"
"16",30016,"基斯·斯扎拉巴基克","演員"
"17",30017,"柯林·麦克法兰","演員"
"18",30018,"约书亚·哈尔托","演員"
"19",30019,"美琳达·麦格劳","演員"
"20",30020,"内森·甘宝","演員"
"21",30021,"迈克尔·维约","演員"
"22",30022,"迈克尔·斯托扬诺夫","演員"
"23",30023,"威廉·斯米利","演員"
"24",30024,"丹尼·高德林","演員"
"25",30025,"迈克尔·加·怀特","演員"
"26",30026,"马修·奥尼尔","演員"
"27",30027,"威廉·菲德内尔","演員"
"28",30028,"欧鲁米基·欧拉乌米","演員"
"29",30029,"格雷格·比姆","演員"
"30",30030,"爱利克·赫尔曼","演員"
"31",30031,"毕崔斯·罗森","演員"
"32",30032,"文森佐·尼克力","演員"
"33",30033,"陈冠希","演員"
"34",30034,"费雯·丽","演員"
"35",30035,"克拉克·盖博","演員"
"36",30036,"奥利维娅·德哈维兰","演員"
"37",30037,"托马斯·米切尔","演員"
"38",30038,"芭芭拉·欧内尔","演員"
"39",30039,"伊夫林·凯耶斯","演員"
"40",30040,"安·卢瑟福德","演員"
"41",30041,"乔治·里弗斯","演員"
"42",30042,"弗莱德·克莱恩","演員"
"43",30043,"海蒂·麦克丹尼尔斯","演員"
"44",30044,"奥斯卡·波尔克","演員"
"45",30045,"巴特弗莱·麦昆","演員"
"46",30046,"维克托·乔里","演員"
"47",30047,"埃弗雷特·布朗","演員"
"48",30048,"霍华德·C·希克曼","演員"
"49",30049,"艾丽西亚·瑞特","演員"
"50",30050,"莱斯利·霍华德","演員"
"51",30051,"兰德·布鲁克斯","演員"
"52",30052,"卡洛尔·奈","演員"
"53",30053,"劳拉·霍普·克鲁斯","演員"
"54",30054,"埃迪·安德森","演員"
"55",30055,"哈里·达文波特","演員"
"56",30056,"利昂娜·罗伯特","演員"
"57",30057,"简·达威尔","演員"
"58",30058,"欧娜·满森","演員"
"59",30059,"保罗·赫斯特","演員"
"60",30060,"伊莎贝尔·朱尔","演員"
"61",30061,"卡米·金·肯伦","演員"
"62",30062,"艾瑞克·林登","演員"
"63",30063,"J·M·克里根","演員"
"64",30064,"沃德·邦德","演員"
"65",30065,"莉莲·肯布尔-库珀","演員"
"66",30066,"葛优","演員"
"67",30067,"巩俐","演員"
"68",30068,"姜武","演員"
"69",30069,"牛犇","演員"
"70",30070,"郭涛","演員"
"71",30071,"张璐","演員"
"72",30072,"倪大红","演員"
"73",30073,"肖聪","演員"
"74",30074,"董飞","演員"
"75",30075,"刘天池","演員"
"76",30076,"董立范","演員"
"77",30077,"黄宗洛","演員"
"78",30078,"刘燕瑾","演員"
"79",30079,"李连义","演員"
"80",30080,"杨同顺","演員"
"81",30081,"苏拉·沙玛","演員"
"82",30082,"伊尔凡·可汗","演員"
"83",30083,"拉菲·斯波","演員"
"84",30084,"阿迪勒·侯赛因","演員"
"85",30085,"塔布","演員"
"86",30086,"阿尤什·坦东","演員"
"87",30087,"加塔姆·贝鲁尔","演員"
"88",30088,"阿彦·汗","演員"
"89",30089,"穆德·阿巴斯·卡勒里","演員"
"90",30090,"维比什·希瓦库玛","演員"
"91",30091,"热拉尔·德帕迪约","演員"
"92",30092,"詹姆斯·塞托","演員"
"93",30093,"俊·奈托","演員"
