:START_ID,:END_ID,relation,:TYPE
40001,10001,å°æ¼,å°æ¼
40002,10002,å°æ¼,å°æ¼
40003,10003,å°æ¼,å°æ¼
40004,10004,å°æ¼,å°æ¼
40005,10005,å°æ¼,å°æ¼
40006,10006,å°æ¼,å°æ¼
40007,10007,å°æ¼,å°æ¼
40008,10008,å°æ¼,å°æ¼
40009,10009,å°æ¼,å°æ¼
40010,10010,å°æ¼,å°æ¼
40011,10011,å°æ¼,å°æ¼
40012,10012,å°æ¼,å°æ¼
40013,10013,å°æ¼,å°æ¼
40014,10014,å°æ¼,å°æ¼
40015,10015,å°æ¼,å°æ¼
40010,10016,å°æ¼,å°æ¼
40016,10017,å°æ¼,å°æ¼
40017,10018,å°æ¼,å°æ¼
40018,10019,å°æ¼,å°æ¼
40019,10020,å°æ¼,å°æ¼
40020,10021,å°æ¼,å°æ¼
40021,10022,å°æ¼,å°æ¼
40022,10023,å°æ¼,å°æ¼
40023,10024,å°æ¼,å°æ¼
40024,10025,å°æ¼,å°æ¼
40008,10026,å°æ¼,å°æ¼
40025,10027,å°æ¼,å°æ¼
40026,10028,å°æ¼,å°æ¼
40008,10029,å°æ¼,å°æ¼
40027,10030,å°æ¼,å°æ¼
40004,10031,å°æ¼,å°æ¼
40028,10032,å°æ¼,å°æ¼
40029,10033,å°æ¼,å°æ¼
40030,10034,å°æ¼,å°æ¼
40031,10035,å°æ¼,å°æ¼
40014,10036,å°æ¼,å°æ¼
40032,10037,å°æ¼,å°æ¼
40033,10038,å°æ¼,å°æ¼
40034,10039,å°æ¼,å°æ¼
40035,10040,å°æ¼,å°æ¼
40006,10041,å°æ¼,å°æ¼
40036,10042,å°æ¼,å°æ¼
40037,10043,å°æ¼,å°æ¼
40007,10044,å°æ¼,å°æ¼
40038,10045,å°æ¼,å°æ¼
40001,10046,å°æ¼,å°æ¼
40014,10047,å°æ¼,å°æ¼
40039,10048,å°æ¼,å°æ¼
40040,10049,å°æ¼,å°æ¼
40041,10050,å°æ¼,å°æ¼
40042,10051,å°æ¼,å°æ¼
40043,10052,å°æ¼,å°æ¼
40038,10053,å°æ¼,å°æ¼
40044,10054,å°æ¼,å°æ¼
40045,10055,å°æ¼,å°æ¼
40046,10056,å°æ¼,å°æ¼
40047,10057,å°æ¼,å°æ¼
40048,10058,å°æ¼,å°æ¼
40049,10059,å°æ¼,å°æ¼
40050,10060,å°æ¼,å°æ¼
40051,10061,å°æ¼,å°æ¼
40052,10062,å°æ¼,å°æ¼
40053,10063,å°æ¼,å°æ¼
40010,10064,å°æ¼,å°æ¼
40007,10065,å°æ¼,å°æ¼
40054,10066,å°æ¼,å°æ¼
40055,10067,å°æ¼,å°æ¼
40056,10068,å°æ¼,å°æ¼
40057,10069,å°æ¼,å°æ¼
40004,10070,å°æ¼,å°æ¼
40058,10071,å°æ¼,å°æ¼
40047,10072,å°æ¼,å°æ¼
40059,10073,å°æ¼,å°æ¼
40060,10074,å°æ¼,å°æ¼
40039,10075,å°æ¼,å°æ¼
40046,10076,å°æ¼,å°æ¼
40014,10077,å°æ¼,å°æ¼
40061,10078,å°æ¼,å°æ¼
40013,10079,å°æ¼,å°æ¼
40062,10080,å°æ¼,å°æ¼
40063,10081,å°æ¼,å°æ¼
40064,10082,å°æ¼,å°æ¼
40065,10083,å°æ¼,å°æ¼
40066,10084,å°æ¼,å°æ¼
40067,10085,å°æ¼,å°æ¼
40068,10086,å°æ¼,å°æ¼
40069,10087,å°æ¼,å°æ¼
40070,10088,å°æ¼,å°æ¼
40071,10089,å°æ¼,å°æ¼
40010,10090,å°æ¼,å°æ¼
40072,10091,å°æ¼,å°æ¼
40073,10092,å°æ¼,å°æ¼
40064,10093,å°æ¼,å°æ¼
40074,10094,å°æ¼,å°æ¼
40038,10095,å°æ¼,å°æ¼
40075,0,å°æ¼,å°æ¼
40065,10097,å°æ¼,å°æ¼
40076,10098,å°æ¼,å°æ¼
40077,10099,å°æ¼,å°æ¼
40078,10100,å°æ¼,å°æ¼
40079,10101,å°æ¼,å°æ¼
40080,10102,å°æ¼,å°æ¼
40081,10103,å°æ¼,å°æ¼
40001,10104,å°æ¼,å°æ¼
40082,10105,å°æ¼,å°æ¼
40012,10106,å°æ¼,å°æ¼
40083,10107,å°æ¼,å°æ¼
40084,10108,å°æ¼,å°æ¼
40085,10109,å°æ¼,å°æ¼
40086,10110,å°æ¼,å°æ¼
40087,10111,å°æ¼,å°æ¼
40088,10112,å°æ¼,å°æ¼
40089,10113,å°æ¼,å°æ¼
40004,10114,å°æ¼,å°æ¼
40090,10115,å°æ¼,å°æ¼
40091,10116,å°æ¼,å°æ¼
40047,10117,å°æ¼,å°æ¼
40092,10118,å°æ¼,å°æ¼
40093,10119,å°æ¼,å°æ¼
40001,10120,å°æ¼,å°æ¼
40044,10121,å°æ¼,å°æ¼
40094,10122,å°æ¼,å°æ¼
40095,10123,å°æ¼,å°æ¼
40087,10124,å°æ¼,å°æ¼
40096,10125,å°æ¼,å°æ¼
40090,10126,å°æ¼,å°æ¼
40097,10127,å°æ¼,å°æ¼
40025,10128,å°æ¼,å°æ¼
40098,10129,å°æ¼,å°æ¼
40024,10130,å°æ¼,å°æ¼
40099,10131,å°æ¼,å°æ¼
40100,10132,å°æ¼,å°æ¼
40047,10133,å°æ¼,å°æ¼
40101,10134,å°æ¼,å°æ¼
40102,10135,å°æ¼,å°æ¼
40103,10136,å°æ¼,å°æ¼
