:START_ID,:END_ID,relation,:TYPE
10001,20001,å±¬æ\,å±¬æ\
10001,20002,å±¬æ\,å±¬æ\
10001,20003,å±¬æ\,å±¬æ\
10001,20004,å±¬æ\,å±¬æ\
10001,20005,å±¬æ\,å±¬æ\
10002,20001,å±¬æ\,å±¬æ\
10002,20006,å±¬æ\,å±¬æ\
10002,20007,å±¬æ\,å±¬æ\
10002,20008,å±¬æ\,å±¬æ\
10003,20001,å±¬æ\,å±¬æ\
10003,20009,å±¬æ\,å±¬æ\
10003,20007,å±¬æ\,å±¬æ\
10004,20001,å±¬æ\,å±¬æ\
10004,20010,å±¬æ\,å±¬æ\
10004,20011,å±¬æ\,å±¬æ\
10005,20001,å±¬æ\,å±¬æ\
10005,20012,å±¬æ\,å±¬æ\
10005,20005,å±¬æ\,å±¬æ\
10006,20001,å±¬æ\,å±¬æ\
10006,20006,å±¬æ\,å±¬æ\
10007,20001,å±¬æ\,å±¬æ\
10007,20007,å±¬æ\,å±¬æ\
10007,20008,å±¬æ\,å±¬æ\
10008,20001,å±¬æ\,å±¬æ\
10008,20002,å±¬æ\,å±¬æ\
10008,20010,å±¬æ\,å±¬æ\
10008,20011,å±¬æ\,å±¬æ\
10009,20001,å±¬æ\,å±¬æ\
10010,20013,å±¬æ\,å±¬æ\
10010,20010,å±¬æ\,å±¬æ\
10010,20011,å±¬æ\,å±¬æ\
10011,20001,å±¬æ\,å±¬æ\
10011,20009,å±¬æ\,å±¬æ\
10011,20014,å±¬æ\,å±¬æ\
10011,20015,å±¬æ\,å±¬æ\
10012,20001,å±¬æ\,å±¬æ\
10012,20016,å±¬æ\,å±¬æ\
10012,20013,å±¬æ\,å±¬æ\
10012,20011,å±¬æ\,å±¬æ\
10013,20016,å±¬æ\,å±¬æ\
10013,20006,å±¬æ\,å±¬æ\
10013,20010,å±¬æ\,å±¬æ\
10013,20017,å±¬æ\,å±¬æ\
10014,20001,å±¬æ\,å±¬æ\
10014,20002,å±¬æ\,å±¬æ\
10014,20012,å±¬æ\,å±¬æ\
10014,20004,å±¬æ\,å±¬æ\
10015,20001,å±¬æ\,å±¬æ\
10015,20016,å±¬æ\,å±¬æ\
10015,20006,å±¬æ\,å±¬æ\
10016,20013,å±¬æ\,å±¬æ\
10016,20010,å±¬æ\,å±¬æ\
10016,20011,å±¬æ\,å±¬æ\
10017,20001,å±¬æ\,å±¬æ\
10018,20001,å±¬æ\,å±¬æ\
10019,20001,å±¬æ\,å±¬æ\
10019,20012,å±¬æ\,å±¬æ\
10020,20001,å±¬æ\,å±¬æ\
10020,20014,å±¬æ\,å±¬æ\
10020,20007,å±¬æ\,å±¬æ\
10021,20001,å±¬æ\,å±¬æ\
10021,20016,å±¬æ\,å±¬æ\
10021,20005,å±¬æ\,å±¬æ\
10022,20001,å±¬æ\,å±¬æ\
10023,20001,å±¬æ\,å±¬æ\
10024,20001,å±¬æ\,å±¬æ\
10025,20016,å±¬æ\,å±¬æ\
10025,20013,å±¬æ\,å±¬æ\
10025,20018,å±¬æ\,å±¬æ\
10025,20010,å±¬æ\,å±¬æ\
10026,20001,å±¬æ\,å±¬æ\
10026,20002,å±¬æ\,å±¬æ\
10026,20010,å±¬æ\,å±¬æ\
10026,20011,å±¬æ\,å±¬æ\
10027,20001,å±¬æ\,å±¬æ\
10027,20005,å±¬æ\,å±¬æ\
10028,20001,å±¬æ\,å±¬æ\
10028,20002,å±¬æ\,å±¬æ\
10028,20003,å±¬æ\,å±¬æ\
10028,20004,å±¬æ\,å±¬æ\
10029,20001,å±¬æ\,å±¬æ\
10029,20002,å±¬æ\,å±¬æ\
10029,20010,å±¬æ\,å±¬æ\
10029,20011,å±¬æ\,å±¬æ\
10030,20019,å±¬æ\,å±¬æ\
10031,20001,å±¬æ\,å±¬æ\
10031,20009,å±¬æ\,å±¬æ\
10032,20001,å±¬æ\,å±¬æ\
10032,20013,å±¬æ\,å±¬æ\
10032,20020,å±¬æ\,å±¬æ\
10032,20009,å±¬æ\,å±¬æ\
10032,20011,å±¬æ\,å±¬æ\
10033,20001,å±¬æ\,å±¬æ\
10033,20014,å±¬æ\,å±¬æ\
10034,20001,å±¬æ\,å±¬æ\
10034,20006,å±¬æ\,å±¬æ\
10035,20001,å±¬æ\,å±¬æ\
10035,20018,å±¬æ\,å±¬æ\
10035,20014,å±¬æ\,å±¬æ\
10035,20007,å±¬æ\,å±¬æ\
10035,20008,å±¬æ\,å±¬æ\
10036,20001,å±¬æ\,å±¬æ\
10036,20006,å±¬æ\,å±¬æ\
10036,20010,å±¬æ\,å±¬æ\
10037,20001,å±¬æ\,å±¬æ\
10037,20005,å±¬æ\,å±¬æ\
10038,20001,å±¬æ\,å±¬æ\
10038,20012,å±¬æ\,å±¬æ\
10038,20004,å±¬æ\,å±¬æ\
10038,20005,å±¬æ\,å±¬æ\
10039,20002,å±¬æ\,å±¬æ\
10039,20003,å±¬æ\,å±¬æ\
10040,20001,å±¬æ\,å±¬æ\
10040,20009,å±¬æ\,å±¬æ\
10040,20021,å±¬æ\,å±¬æ\
10041,20001,å±¬æ\,å±¬æ\
10041,20022,å±¬æ\,å±¬æ\
10041,20008,å±¬æ\,å±¬æ\
10042,20013,å±¬æ\,å±¬æ\
10042,20010,å±¬æ\,å±¬æ\
10043,20010,å±¬æ\,å±¬æ\
10043,20011,å±¬æ\,å±¬æ\
10044,20001,å±¬æ\,å±¬æ\
10044,20016,å±¬æ\,å±¬æ\
10044,20002,å±¬æ\,å±¬æ\
10044,20023,å±¬æ\,å±¬æ\
10045,20001,å±¬æ\,å±¬æ\
10045,20007,å±¬æ\,å±¬æ\
10045,20008,å±¬æ\,å±¬æ\
10046,20001,å±¬æ\,å±¬æ\
10046,20012,å±¬æ\,å±¬æ\
10046,20004,å±¬æ\,å±¬æ\
10047,20001,å±¬æ\,å±¬æ\
10047,20012,å±¬æ\,å±¬æ\
10047,20004,å±¬æ\,å±¬æ\
10047,20005,å±¬æ\,å±¬æ\
10048,20001,å±¬æ\,å±¬æ\
10048,20020,å±¬æ\,å±¬æ\
10049,20001,å±¬æ\,å±¬æ\
10049,20006,å±¬æ\,å±¬æ\
10049,20020,å±¬æ\,å±¬æ\
10049,20014,å±¬æ\,å±¬æ\
10050,20001,å±¬æ\,å±¬æ\
10050,20016,å±¬æ\,å±¬æ\
10050,20005,å±¬æ\,å±¬æ\
10051,20001,å±¬æ\,å±¬æ\
10051,20004,å±¬æ\,å±¬æ\
10051,20005,å±¬æ\,å±¬æ\
10052,20016,å±¬æ\,å±¬æ\
10052,20006,å±¬æ\,å±¬æ\
10053,20001,å±¬æ\,å±¬æ\
10053,20014,å±¬æ\,å±¬æ\
10053,20005,å±¬æ\,å±¬æ\
10054,20001,å±¬æ\,å±¬æ\
10054,20002,å±¬æ\,å±¬æ\
10054,20014,å±¬æ\,å±¬æ\
10054,20007,å±¬æ\,å±¬æ\
10054,20008,å±¬æ\,å±¬æ\
10055,20001,å±¬æ\,å±¬æ\
